time,all_num_凯莱英,all_dic_score,凯莱英舆情因子值,positive_num,positive_sentiment,negative_num,negative_sentiment
2021-02-20,3,1.00,0.00,2,2.00,1,-1.00
2021-02-21,2,0.00,-0.13,1,1.00,1,-1.00
2021-02-22,39,27.00,0.92,33,33.00,6,-6.00
2021-02-23,25,19.00,0.97,22,22.00,3,-3.00
2021-02-24,37,25.00,0.65,31,31.00,6,-6.00
2021-02-25,33,23.00,0.90,28,28.00,5,-5.00
2021-02-26,24,12.00,0.91,18,18.00,6,-6.00
2021-02-27,8,4.00,0.66,6,6.00,2,-2.00
2021-02-28,10,8.00,0.93,9,9.00,1,-1.00
2021-03-01,17,11.00,0.94,14,14.00,3,-3.00
2021-03-02,22,12.00,0.87,17,17.00,5,-5.00
2021-03-03,25,7.00,0.92,16,16.00,9,-9.00
2021-03-04,41,21.00,0.94,31,31.00,10,-10.00
2021-03-05,23,7.00,0.79,15,15.00,8,-8.00
2021-03-06,8,8.00,1.00,8,8.00,0,0.00
2021-03-07,4,4.00,1.00,4,4.00,0,0.00
2021-03-08,27,17.00,0.96,22,22.00,5,-5.00
2021-03-09,25,11.00,0.40,18,18.00,7,-7.00
2021-03-10,16,10.00,0.93,13,13.00,3,-3.00
2021-03-11,11,9.00,0.80,10,10.00,1,-1.00
2021-03-12,16,12.00,0.97,14,14.00,2,-2.00
2021-03-13,1,1.00,1.00,1,1.00,0,0.00
2021-03-14,5,1.00,0.13,3,3.00,2,-2.00
2021-03-15,34,14.00,0.88,24,24.00,10,-10.00
2021-03-16,17,9.00,0.79,13,13.00,4,-4.00
2021-03-17,36,26.00,0.84,31,31.00,5,-5.00
2021-03-18,18,12.00,0.71,15,15.00,3,-3.00
2021-03-19,10,6.00,0.94,8,8.00,2,-2.00
2021-03-20,2,2.00,1.00,2,2.00,0,0.00
2021-03-21,6,6.00,1.00,6,6.00,0,0.00
2021-03-22,16,10.00,0.90,13,13.00,3,-3.00
2021-03-23,18,12.00,0.91,15,15.00,3,-3.00
2021-03-24,23,15.00,0.91,19,19.00,4,-4.00
2021-03-25,15,11.00,0.93,13,13.00,2,-2.00
2021-03-26,26,16.00,0.56,21,21.00,5,-5.00
2021-03-27,3,3.00,1.00,3,3.00,0,0.00
2021-03-28,4,2.00,0.87,3,3.00,1,-1.00
2021-03-29,9,5.00,0.38,7,7.00,2,-2.00
2021-03-30,14,4.00,-0.49,9,9.00,5,-5.00
2021-03-31,15,11.00,0.71,13,13.00,2,-2.00
2021-04-01,13,7.00,0.63,10,10.00,3,-3.00
2021-04-02,6,6.00,1.00,6,6.00,0,0.00
2021-04-03,1,1.00,1.00,1,1.00,0,0.00
2021-04-05,1,1.00,1.00,1,1.00,0,0.00
2021-04-06,17,7.00,0.08,12,12.00,5,-5.00
2021-04-07,7,5.00,0.87,6,6.00,1,-1.00
2021-04-08,6,4.00,0.85,5,5.00,1,-1.00
2021-04-09,9,5.00,0.67,7,7.00,2,-2.00
2021-04-11,4,2.00,0.82,3,3.00,1,-1.00
2021-04-12,19,11.00,0.96,15,15.00,4,-4.00
2021-04-13,13,11.00,0.91,12,12.00,1,-1.00
2021-04-14,39,17.00,0.81,28,28.00,11,-11.00
2021-04-15,68,56.00,0.75,62,62.00,6,-6.00
2021-04-16,61,45.00,0.89,53,53.00,8,-8.00
2021-04-17,9,1.00,0.55,5,5.00,4,-4.00
2021-04-18,10,10.00,1.00,10,10.00,0,0.00
2021-04-19,19,19.00,1.00,19,19.00,0,0.00
2021-04-20,17,15.00,0.99,16,16.00,1,-1.00
2021-04-21,32,20.00,0.73,26,26.00,6,-6.00
2021-04-22,43,25.00,0.70,34,34.00,9,-9.00
2021-04-23,49,27.00,0.77,38,38.00,11,-11.00
2021-04-24,3,1.00,0.44,2,2.00,1,-1.00
2021-04-25,11,9.00,0.93,10,10.00,1,-1.00
2021-04-26,19,7.00,0.80,13,13.00,6,-6.00
2021-04-27,24,18.00,0.85,21,21.00,3,-3.00
2021-04-28,24,20.00,0.93,22,22.00,2,-2.00
2021-04-29,10,6.00,0.77,8,8.00,2,-2.00
2021-04-30,8,4.00,0.69,6,6.00,2,-2.00
2021-05-01,3,1.00,0.52,2,2.00,1,-1.00
2021-05-03,2,0.00,0.62,1,1.00,1,-1.00
2021-05-04,2,0.00,-0.61,1,1.00,1,-1.00
2021-05-05,5,3.00,0.94,4,4.00,1,-1.00
2021-05-06,15,7.00,0.63,11,11.00,4,-4.00
2021-05-07,12,8.00,0.79,10,10.00,2,-2.00
2021-05-08,1,1.00,1.00,1,1.00,0,0.00
2021-05-09,4,2.00,0.64,3,3.00,1,-1.00
2021-05-10,21,13.00,0.90,17,17.00,4,-4.00
2021-05-11,21,15.00,0.90,18,18.00,3,-3.00
2021-05-12,40,28.00,0.83,34,34.00,6,-6.00
2021-05-13,17,15.00,0.85,16,16.00,1,-1.00
2021-05-14,17,13.00,0.91,15,15.00,2,-2.00
2021-05-15,2,0.00,-0.32,1,1.00,1,-1.00
2021-05-16,6,6.00,1.00,6,6.00,0,0.00
2021-05-17,38,26.00,0.88,32,32.00,6,-6.00
2021-05-18,17,9.00,0.22,13,13.00,4,-4.00
2021-05-19,39,21.00,0.57,30,30.00,9,-9.00
2021-05-20,16,12.00,0.90,14,14.00,2,-2.00
2021-05-21,14,10.00,0.63,12,12.00,2,-2.00
2021-05-22,5,-1.00,-0.24,2,2.00,3,-3.00
2021-05-23,1,1.00,1.00,1,1.00,0,0.00
2021-05-24,7,5.00,0.80,6,6.00,1,-1.00
2021-05-25,17,9.00,0.59,13,13.00,4,-4.00
2021-05-26,15,11.00,0.80,13,13.00,2,-2.00
2021-05-27,10,6.00,0.67,8,8.00,2,-2.00
2021-05-28,21,15.00,0.79,18,18.00,3,-3.00
2021-05-29,4,0.00,-0.06,2,2.00,2,-2.00
2021-05-30,1,1.00,1.00,1,1.00,0,0.00
2021-05-31,55,49.00,0.90,52,52.00,3,-3.00
2021-06-01,18,14.00,0.88,16,16.00,2,-2.00
2021-06-02,7,3.00,0.03,5,5.00,2,-2.00
2021-06-03,5,5.00,1.00,5,5.00,0,0.00
2021-06-04,12,10.00,0.89,11,11.00,1,-1.00
2021-06-05,3,3.00,1.00,3,3.00,0,0.00
2021-06-06,11,11.00,1.00,11,11.00,0,0.00
2021-06-07,11,9.00,0.74,10,10.00,1,-1.00
2021-06-08,12,4.00,0.71,8,8.00,4,-4.00
2021-06-09,7,3.00,0.44,5,5.00,2,-2.00
2021-06-10,21,15.00,0.73,18,18.00,3,-3.00
2021-06-11,21,9.00,0.42,15,15.00,6,-6.00
2021-06-12,1,-1.00,-1.00,0,0.00,1,-1.00
2021-06-13,4,4.00,1.00,4,4.00,0,0.00
2021-06-14,7,3.00,0.58,5,5.00,2,-2.00
2021-06-15,30,24.00,0.78,27,27.00,3,-3.00
2021-06-16,76,24.00,0.41,50,50.00,26,-26.00
2021-06-17,34,28.00,0.86,31,31.00,3,-3.00
2021-06-18,22,18.00,0.92,20,20.00,2,-2.00
2021-06-19,3,1.00,0.43,2,2.00,1,-1.00
2021-06-20,5,5.00,1.00,5,5.00,0,0.00
2021-06-21,20,14.00,0.57,17,17.00,3,-3.00
2021-06-22,19,13.00,0.76,16,16.00,3,-3.00
2021-06-23,15,9.00,0.55,12,12.00,3,-3.00
2021-06-24,32,12.00,0.40,22,22.00,10,-10.00
2021-06-25,14,10.00,0.65,12,12.00,2,-2.00
2021-06-27,3,1.00,0.89,2,2.00,1,-1.00
2021-06-28,14,8.00,0.75,11,11.00,3,-3.00
2021-06-29,18,16.00,0.95,17,17.00,1,-1.00
2021-06-30,35,21.00,0.69,28,28.00,7,-7.00
2021-07-01,25,19.00,0.86,22,22.00,3,-3.00
2021-07-02,55,37.00,0.74,46,46.00,9,-9.00
2021-07-03,5,3.00,0.78,4,4.00,1,-1.00
2021-07-04,8,6.00,0.53,7,7.00,1,-1.00
2021-07-05,57,35.00,0.60,46,46.00,11,-11.00
2021-07-06,62,40.00,0.57,51,51.00,11,-11.00
2021-07-07,41,25.00,0.68,33,33.00,8,-8.00
2021-07-08,14,8.00,0.73,11,11.00,3,-3.00
2021-07-09,22,12.00,0.33,17,17.00,5,-5.00
2021-07-10,3,1.00,-0.87,2,2.00,1,-1.00
2021-07-11,4,2.00,0.43,3,3.00,1,-1.00
2021-07-12,19,15.00,0.88,17,17.00,2,-2.00
2021-07-13,16,10.00,0.69,13,13.00,3,-3.00
2021-07-14,18,14.00,0.86,16,16.00,2,-2.00
2021-07-15,17,9.00,0.49,13,13.00,4,-4.00
2021-07-16,14,14.00,1.00,14,14.00,0,0.00
2021-07-17,1,1.00,1.00,1,1.00,0,0.00
2021-07-18,2,2.00,1.00,2,2.00,0,0.00
2021-07-19,10,6.00,0.73,8,8.00,2,-2.00
2021-07-20,15,11.00,0.77,13,13.00,2,-2.00
2021-07-21,9,7.00,0.63,8,8.00,1,-1.00
2021-07-22,7,7.00,1.00,7,7.00,0,0.00
2021-07-23,30,18.00,0.64,24,24.00,6,-6.00
2021-07-24,4,2.00,0.77,3,3.00,1,-1.00
2021-07-25,2,2.00,1.00,2,2.00,0,0.00
2021-07-26,13,9.00,0.61,11,11.00,2,-2.00
2021-07-27,19,9.00,0.41,14,14.00,5,-5.00
2021-07-28,43,35.00,0.73,39,39.00,4,-4.00
2021-07-29,29,17.00,0.69,23,23.00,6,-6.00
2021-07-30,30,28.00,0.95,29,29.00,1,-1.00
2021-07-31,2,2.00,1.00,2,2.00,0,0.00
2021-08-01,4,2.00,0.50,3,3.00,1,-1.00
2021-08-02,5,1.00,0.27,3,3.00,2,-2.00
2021-08-03,11,9.00,0.89,10,10.00,1,-1.00
2021-08-04,22,16.00,0.80,19,19.00,3,-3.00
2021-08-05,21,17.00,0.85,19,19.00,2,-2.00
2021-08-06,7,5.00,0.84,6,6.00,1,-1.00
2021-08-07,7,7.00,1.00,7,7.00,0,0.00
2021-08-08,9,7.00,0.80,8,8.00,1,-1.00
2021-08-09,9,7.00,0.93,8,8.00,1,-1.00
2021-08-10,20,10.00,0.43,15,15.00,5,-5.00
2021-08-11,10,10.00,1.00,10,10.00,0,0.00
2021-08-12,8,4.00,0.58,6,6.00,2,-2.00
2021-08-13,13,9.00,0.80,11,11.00,2,-2.00
2021-08-14,3,1.00,0.48,2,2.00,1,-1.00
2021-08-15,31,21.00,0.81,26,26.00,5,-5.00
2021-08-16,169,109.00,0.73,139,139.00,30,-30.00
2021-08-17,84,46.00,0.70,65,65.00,19,-19.00
2021-08-18,46,32.00,-0.39,39,39.00,7,-7.00
2021-08-19,25,15.00,0.73,20,20.00,5,-5.00
2021-08-20,29,19.00,0.76,24,24.00,5,-5.00
2021-08-21,8,6.00,0.82,7,7.00,1,-1.00
2021-08-22,3,3.00,1.00,3,3.00,0,0.00
2021-08-23,12,8.00,0.84,10,10.00,2,-2.00
2021-08-24,27,17.00,0.69,22,22.00,5,-5.00
2021-08-25,16,10.00,0.80,13,13.00,3,-3.00
2021-08-26,17,7.00,0.56,12,12.00,5,-5.00
2021-08-27,14,4.00,0.44,9,9.00,5,-5.00
2021-08-28,4,4.00,1.00,4,4.00,0,0.00
2021-08-29,6,4.00,0.79,5,5.00,1,-1.00
2021-08-30,10,2.00,0.48,6,6.00,4,-4.00
2021-08-31,6,2.00,0.68,4,4.00,2,-2.00
2021-09-01,11,3.00,0.43,7,7.00,4,-4.00
2021-09-02,31,15.00,0.54,23,23.00,8,-8.00
2021-09-03,44,22.00,0.60,33,33.00,11,-11.00
2021-09-04,3,3.00,1.00,3,3.00,0,0.00
2021-09-05,2,2.00,1.00,2,2.00,0,0.00
2021-09-06,27,21.00,0.48,24,24.00,3,-3.00
2021-09-07,16,10.00,0.80,13,13.00,3,-3.00
2021-09-08,10,8.00,0.70,9,9.00,1,-1.00
2021-09-09,10,4.00,0.76,7,7.00,3,-3.00
2021-09-10,10,8.00,0.86,9,9.00,1,-1.00
2021-09-11,6,2.00,0.38,4,4.00,2,-2.00
2021-09-12,3,3.00,1.00,3,3.00,0,0.00
2021-09-13,15,5.00,0.47,10,10.00,5,-5.00
2021-09-14,13,11.00,0.91,12,12.00,1,-1.00
2021-09-15,21,11.00,0.57,16,16.00,5,-5.00
2021-09-16,21,9.00,0.87,15,15.00,6,-6.00
2021-09-17,34,26.00,0.82,30,30.00,4,-4.00
2021-09-18,2,2.00,1.00,2,2.00,0,0.00
2021-09-19,1,1.00,1.00,1,1.00,0,0.00
2021-09-20,2,2.00,1.00,2,2.00,0,0.00
2021-09-21,4,4.00,1.00,4,4.00,0,0.00
2021-09-22,26,18.00,0.53,22,22.00,4,-4.00
2021-09-23,23,19.00,0.92,21,21.00,2,-2.00
2021-09-24,13,3.00,0.59,8,8.00,5,-5.00
2021-09-25,3,3.00,1.00,3,3.00,0,0.00
2021-09-26,3,3.00,1.00,3,3.00,0,0.00
2021-09-27,17,13.00,0.80,15,15.00,2,-2.00
2021-09-28,20,14.00,0.87,17,17.00,3,-3.00
2021-09-29,18,12.00,0.68,15,15.00,3,-3.00
2021-09-30,19,13.00,0.40,16,16.00,3,-3.00
2021-10-01,6,0.00,-0.70,3,3.00,3,-3.00
2021-10-02,1,1.00,1.00,1,1.00,0,0.00
2021-10-03,1,1.00,1.00,1,1.00,0,0.00
2021-10-04,3,1.00,0.61,2,2.00,1,-1.00
2021-10-05,2,2.00,1.00,2,2.00,0,0.00
2021-10-07,4,4.00,1.00,4,4.00,0,0.00
2021-10-08,21,13.00,0.74,17,17.00,4,-4.00
2021-10-09,3,1.00,0.52,2,2.00,1,-1.00
2021-10-10,1,1.00,1.00,1,1.00,0,0.00
2021-10-11,12,6.00,0.65,9,9.00,3,-3.00
2021-10-12,14,4.00,0.52,9,9.00,5,-5.00
2021-10-13,13,11.00,0.88,12,12.00,1,-1.00
2021-10-14,19,15.00,0.83,17,17.00,2,-2.00
2021-10-15,9,9.00,1.00,9,9.00,0,0.00
2021-10-16,1,1.00,1.00,1,1.00,0,0.00
2021-10-17,2,2.00,1.00,2,2.00,0,0.00
2021-10-18,10,6.00,0.78,8,8.00,2,-2.00
2021-10-19,8,8.00,1.00,8,8.00,0,0.00
2021-10-20,15,-3.00,-0.20,6,6.00,9,-9.00
2021-10-21,13,5.00,0.44,9,9.00,4,-4.00
2021-10-22,33,21.00,0.73,27,27.00,6,-6.00
2021-10-23,3,-1.00,-0.23,1,1.00,2,-2.00
2021-10-24,16,16.00,1.00,16,16.00,0,0.00
2021-10-25,17,17.00,1.00,17,17.00,0,0.00
2021-10-26,64,36.00,0.70,50,50.00,14,-14.00
2021-10-27,38,30.00,0.82,34,34.00,4,-4.00
2021-10-28,29,23.00,0.91,26,26.00,3,-3.00
2021-10-29,19,13.00,0.71,16,16.00,3,-3.00
2021-10-30,5,5.00,1.00,5,5.00,0,0.00
2021-10-31,7,5.00,0.83,6,6.00,1,-1.00
2021-11-01,15,7.00,0.44,11,11.00,4,-4.00
2021-11-02,13,7.00,0.80,10,10.00,3,-3.00
2021-11-03,26,14.00,0.57,20,20.00,6,-6.00
2021-11-04,32,18.00,0.70,25,25.00,7,-7.00
2021-11-05,25,19.00,0.84,22,22.00,3,-3.00
2021-11-06,4,2.00,0.89,3,3.00,1,-1.00
2021-11-07,5,3.00,0.30,4,4.00,1,-1.00
2021-11-08,170,78.00,0.53,124,124.00,46,-46.00
2021-11-09,24,14.00,0.47,19,19.00,5,-5.00
2021-11-10,32,26.00,0.90,29,29.00,3,-3.00
2021-11-11,15,7.00,0.35,11,11.00,4,-4.00
2021-11-12,17,11.00,0.74,14,14.00,3,-3.00
2021-11-13,3,3.00,1.00,3,3.00,0,0.00
2021-11-14,5,5.00,1.00,5,5.00,0,0.00
2021-11-15,8,6.00,0.85,7,7.00,1,-1.00
2021-11-16,31,25.00,0.84,28,28.00,3,-3.00
2021-11-17,169,137.00,0.78,153,153.00,16,-16.00
2021-11-18,37,21.00,0.68,29,29.00,8,-8.00
2021-11-19,22,18.00,0.95,20,20.00,2,-2.00
2021-11-20,3,3.00,1.00,3,3.00,0,0.00
2021-11-21,5,5.00,1.00,5,5.00,0,0.00
2021-11-22,22,18.00,0.87,20,20.00,2,-2.00
2021-11-23,33,27.00,0.95,30,30.00,3,-3.00
2021-11-24,32,22.00,0.59,27,27.00,5,-5.00
2021-11-25,26,24.00,0.77,25,25.00,1,-1.00
2021-11-26,33,21.00,0.64,27,27.00,6,-6.00
2021-11-27,6,6.00,1.00,6,6.00,0,0.00
2021-11-28,39,27.00,0.81,33,33.00,6,-6.00
2021-11-29,108,70.00,0.76,89,89.00,19,-19.00
2021-11-30,40,28.00,0.81,34,34.00,6,-6.00
2021-12-01,38,20.00,0.62,29,29.00,9,-9.00
2021-12-02,30,18.00,0.57,24,24.00,6,-6.00
2021-12-03,28,20.00,0.76,24,24.00,4,-4.00
2021-12-04,11,11.00,1.00,11,11.00,0,0.00
2021-12-05,14,10.00,0.90,12,12.00,2,-2.00
2021-12-06,28,16.00,0.74,22,22.00,6,-6.00
2021-12-07,17,9.00,0.28,13,13.00,4,-4.00
2021-12-08,11,9.00,0.85,10,10.00,1,-1.00
2021-12-09,20,12.00,0.77,16,16.00,4,-4.00
2021-12-10,25,15.00,0.54,20,20.00,5,-5.00
2021-12-11,6,6.00,1.00,6,6.00,0,0.00
2021-12-12,6,4.00,0.63,5,5.00,1,-1.00
2021-12-13,40,24.00,0.71,32,32.00,8,-8.00
2021-12-14,22,16.00,0.86,19,19.00,3,-3.00
2021-12-15,71,49.00,0.79,60,60.00,11,-11.00
2021-12-16,34,34.00,1.00,34,34.00,0,0.00
2021-12-17,23,21.00,0.96,22,22.00,1,-1.00
2021-12-18,8,8.00,1.00,8,8.00,0,0.00
2021-12-19,4,2.00,0.26,3,3.00,1,-1.00
2021-12-20,32,22.00,0.83,27,27.00,5,-5.00
2021-12-21,32,18.00,0.77,25,25.00,7,-7.00
2021-12-22,26,12.00,0.55,19,19.00,7,-7.00
2021-12-23,38,26.00,0.74,32,32.00,6,-6.00
2021-12-24,28,18.00,0.77,23,23.00,5,-5.00
2021-12-25,2,2.00,1.00,2,2.00,0,0.00
2021-12-26,2,0.00,-0.21,1,1.00,1,-1.00
2021-12-27,40,30.00,0.85,35,35.00,5,-5.00
2021-12-28,39,21.00,0.65,30,30.00,9,-9.00
2021-12-29,36,10.00,0.19,23,23.00,13,-13.00
2021-12-30,23,17.00,0.15,20,20.00,3,-3.00
2021-12-31,56,34.00,0.69,45,45.00,11,-11.00
2022-01-01,1,1.00,1.00,1,1.00,0,0.00
2022-01-02,2,0.00,-0.32,1,1.00,1,-1.00
2022-01-03,10,6.00,0.68,8,8.00,2,-2.00
2022-01-04,190,96.00,0.61,143,143.00,47,-47.00
2022-01-05,68,32.00,0.41,50,50.00,18,-18.00
2022-01-06,33,17.00,0.54,25,25.00,8,-8.00
2022-01-07,151,85.00,0.61,118,118.00,33,-33.00
2022-01-08,7,3.00,0.66,5,5.00,2,-2.00
2022-01-09,14,10.00,0.84,12,12.00,2,-2.00
2022-01-10,81,35.00,0.49,58,58.00,23,-23.00
2022-01-11,56,38.00,0.83,47,47.00,9,-9.00
2022-01-12,28,22.00,0.93,25,25.00,3,-3.00
2022-01-13,21,15.00,0.77,18,18.00,3,-3.00
2022-01-14,38,20.00,0.65,29,29.00,9,-9.00
2022-01-15,3,3.00,1.00,3,3.00,0,0.00
2022-01-16,8,8.00,1.00,8,8.00,0,0.00
2022-01-17,28,20.00,0.76,24,24.00,4,-4.00
2022-01-18,43,27.00,0.62,35,35.00,8,-8.00
2022-01-19,46,28.00,0.66,37,37.00,9,-9.00
2022-01-20,27,21.00,0.84,24,24.00,3,-3.00
2022-01-21,22,12.00,0.72,17,17.00,5,-5.00
2022-01-22,4,4.00,1.00,4,4.00,0,0.00
2022-01-23,11,11.00,1.00,11,11.00,0,0.00
2022-01-24,34,14.00,0.51,24,24.00,10,-10.00
2022-01-25,32,20.00,0.70,26,26.00,6,-6.00
2022-01-26,86,46.00,0.60,66,66.00,20,-20.00
2022-01-27,32,26.00,0.93,29,29.00,3,-3.00
2022-01-28,35,25.00,0.67,30,30.00,5,-5.00
2022-01-29,3,3.00,1.00,3,3.00,0,0.00
2022-01-30,3,3.00,1.00,3,3.00,0,0.00
2022-01-31,2,2.00,1.00,2,2.00,0,0.00
2022-02-02,1,1.00,1.00,1,1.00,0,0.00
2022-02-04,1,-1.00,-1.00,0,0.00,1,-1.00
2022-02-05,1,1.00,1.00,1,1.00,0,0.00
2022-02-06,1,1.00,1.00,1,1.00,0,0.00
2022-02-07,19,7.00,0.42,13,13.00,6,-6.00
2022-02-08,64,46.00,0.76,55,55.00,9,-9.00
2022-02-09,60,44.00,0.83,52,52.00,8,-8.00
2022-02-10,143,91.00,0.65,117,117.00,26,-26.00
2022-02-11,126,50.00,0.52,88,88.00,38,-38.00
2022-02-12,29,23.00,0.88,26,26.00,3,-3.00
2022-02-13,26,12.00,0.47,19,19.00,7,-7.00
2022-02-14,63,41.00,0.83,52,52.00,11,-11.00
2022-02-15,68,46.00,0.73,57,57.00,11,-11.00
2022-02-16,36,26.00,0.81,31,31.00,5,-5.00
2022-02-17,23,19.00,0.93,21,21.00,2,-2.00
2022-02-18,32,24.00,0.84,28,28.00,4,-4.00
2022-02-19,7,5.00,0.84,6,6.00,1,-1.00
2022-02-20,70,52.00,0.80,61,61.00,9,-9.00
2022-02-21,254,152.00,0.80,203,203.00,51,-51.00
2022-02-22,76,52.00,0.87,64,64.00,12,-12.00
2022-02-23,66,44.00,0.82,55,55.00,11,-11.00
2022-02-24,75,47.00,0.63,61,61.00,14,-14.00
2022-02-25,47,37.00,0.84,42,42.00,5,-5.00
2022-02-26,7,3.00,0.48,5,5.00,2,-2.00
2022-02-27,13,9.00,0.90,11,11.00,2,-2.00
2022-02-28,22,22.00,1.00,22,22.00,0,0.00
2022-03-01,20,16.00,0.82,18,18.00,2,-2.00
2022-03-02,26,22.00,0.89,24,24.00,2,-2.00
2022-03-03,24,10.00,0.51,17,17.00,7,-7.00
2022-03-04,19,19.00,1.00,19,19.00,0,0.00
2022-03-05,7,5.00,0.78,6,6.00,1,-1.00
2022-03-06,12,8.00,0.80,10,10.00,2,-2.00
2022-03-07,22,10.00,0.57,16,16.00,6,-6.00
2022-03-08,15,7.00,0.62,11,11.00,4,-4.00
2022-03-09,27,25.00,0.95,26,26.00,1,-1.00
2022-03-10,25,11.00,0.81,18,18.00,7,-7.00
2022-03-11,40,18.00,0.54,29,29.00,11,-11.00
2022-03-12,7,5.00,0.81,6,6.00,1,-1.00
2022-03-13,27,23.00,0.92,25,25.00,2,-2.00
2022-03-14,67,33.00,0.63,50,50.00,17,-17.00
2022-03-15,42,26.00,0.78,34,34.00,8,-8.00
2022-03-16,38,28.00,0.95,33,33.00,5,-5.00
2022-03-17,43,23.00,0.57,33,33.00,10,-10.00
2022-03-18,35,17.00,0.56,26,26.00,9,-9.00
2022-03-19,4,2.00,0.75,3,3.00,1,-1.00
2022-03-20,8,6.00,0.77,7,7.00,1,-1.00
2022-03-21,44,20.00,0.56,32,32.00,12,-12.00
2022-03-22,61,33.00,0.56,47,47.00,14,-14.00
2022-03-23,47,37.00,0.86,42,42.00,5,-5.00
2022-03-24,50,28.00,0.55,39,39.00,11,-11.00
2022-03-25,45,25.00,0.57,35,35.00,10,-10.00
2022-03-26,14,10.00,0.82,12,12.00,2,-2.00
2022-03-27,15,15.00,1.00,15,15.00,0,0.00
2022-03-28,40,26.00,0.80,33,33.00,7,-7.00
2022-03-29,31,21.00,0.55,26,26.00,5,-5.00
2022-03-30,88,78.00,0.92,83,83.00,5,-5.00
2022-03-31,83,53.00,0.74,68,68.00,15,-15.00
2022-04-01,60,50.00,0.90,55,55.00,5,-5.00
2022-04-02,21,17.00,0.88,19,19.00,2,-2.00
2022-04-03,4,4.00,1.00,4,4.00,0,0.00
2022-04-04,2,2.00,1.00,2,2.00,0,0.00
2022-04-05,10,8.00,0.90,9,9.00,1,-1.00
2022-04-06,27,15.00,0.61,21,21.00,6,-6.00
2022-04-07,24,18.00,0.77,21,21.00,3,-3.00
2022-04-08,34,10.00,0.49,22,22.00,12,-12.00
2022-04-09,6,6.00,1.00,6,6.00,0,0.00
2022-04-10,6,6.00,1.00,6,6.00,0,0.00
2022-04-11,30,16.00,0.62,23,23.00,7,-7.00
2022-04-12,28,12.00,0.34,20,20.00,8,-8.00
2022-04-13,171,99.00,0.70,135,135.00,36,-36.00
2022-04-14,68,36.00,0.55,52,52.00,16,-16.00
2022-04-15,37,23.00,0.83,30,30.00,7,-7.00
2022-04-16,4,4.00,1.00,4,4.00,0,0.00
2022-04-17,5,3.00,0.81,4,4.00,1,-1.00
2022-04-18,28,12.00,0.53,20,20.00,8,-8.00
